,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
177658,1577059510,49d3fa,47.51917434951006,19.982933631310093,223.0208192401812,123.140220879052,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059509.571,1577059509.8620002
184165,1577059520,49d3fa,47.50813293457031,20.007957458496094,223.0208192401812,123.140220879052,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059519.596,1577059519.9589999
188915,1577059530,49d3fa,47.497248245497886,20.032372107872593,222.87243584005085,123.323262169046,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059529.5970001,1577059529.945
195571,1577059540,49d3fa,47.48606872558594,20.05725860595703,222.86827968303075,123.800110501133,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059539.836,1577059539.951
202402,1577059550,49d3fa,47.47522903701006,20.081035907451923,223.01607250045558,124.09329412194172,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059549.333,1577059549.8860002
209062,1577059560,49d3fa,47.46354442531779,20.106459397536053,223.30484639594752,124.20260395857893,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059559.831,1577059559.9910002
214157,1577059570,49d3fa,47.45292663574219,20.129493713378906,223.73050678051598,124.12854707414516,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059569.2129998,1577059569.9770002
222928,1577059580,49d3fa,47.44194030761719,20.153594970703125,224.2958141168704,123.8723053958948,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059578.968,1577059579.86
226661,1577059590,49d3fa,47.43022155761719,20.179481506347656,224.29758399999997,123.39848846798726,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059589.4770002,1577059589.86
234183,1577059600,49d3fa,47.418807724774894,20.204984224759613,224.15240717304292,123.5806549673522,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059599.802,1577059599.975
240211,1577059610,49d3fa,47.40797424316406,20.22891998291016,223.8682731582463,123.47096427464572,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059609.4889998,1577059609.996
247033,1577059620,49d3fa,47.399814411745226,20.247168907752407,223.58496174273225,123.36099519309697,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059617.0,1577059619.998
252919,1577059630,49d3fa,47.385498046875,20.27925109863281,223.30247605747945,123.25074747485183,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059629.949,1577059629.98
260093,1577059640,49d3fa,47.37584000926907,20.30097374549279,222.87243584005085,123.323262169046,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059638.6260002,1577059639.966
264733,1577059650,49d3fa,47.3633640095339,20.328650841346157,222.15464643781465,123.76366514704658,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059649.971,1577059649.971
271534,1577059660,49d3fa,47.352703547073624,20.352032001201923,222.15464643781465,123.76366514704658,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059659.53,1577059659.915
278864,1577059670,49d3fa,47.34146118164063,20.376686096191406,222.01402864106205,123.94782314998056,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059669.806,1577059669.865
283671,1577059680,49d3fa,47.33033752441406,20.40099334716797,222.3017231901431,124.05781459099065,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059679.7470002,1577059680.0
290035,1577059690,49d3fa,47.31898498535156,20.42584991455078,222.15464643781465,123.76366514704658,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059689.897,1577059689.9060001
297476,1577059700,49d3fa,47.30813598632813,20.449745178222656,221.86914685136884,123.65322137060059,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059699.6920002,1577059699.846
301813,1577059710,49d3fa,47.29692077636719,20.47460174560547,221.58447378021862,123.5424934041175,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059709.8960001,1577059709.935
309828,1577059720,49d3fa,47.28579711914063,20.49890899658203,221.58745967134982,124.02210631731329,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059719.8379998,1577059720.0
315649,1577059730,49d3fa,47.27472854872881,20.52281306340144,221.7396868042159,124.3168303313747,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059729.775,1577059729.9929998
322270,1577059740,49d3fa,47.264533608646715,20.54478571965144,221.7396868042159,124.3168303313747,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059738.7770002,1577059739.934
328368,1577059750,49d3fa,47.25210416114936,20.571617713341343,221.7396868042159,124.3168303313747,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10462.26,1577059749.9770002,1577059749.9770002
335762,1577059760,49d3fa,47.24180603027344,20.5938720703125,221.87570733064663,124.13221267463787,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059759.2570002,1577059759.857
